Name,Plot,Entry,Rep,Location,Planting.date.date,Root Dry Weight (g),Shoot Dry Weight (g),Population (text),Shoot fresh weight (g),Root fresh weight (g),Nodule fresh weight (mg),Specific nodule dry weight (mg),Specific nodule fresh weight (mg),Nodule dry weight (mg),Number of nodules (count),Image ID1,Image ID2,Image ID3,Image ID4
LR 26-123,,64,2,,,0.0084,0.004,LR-26,0.01,0.12,0,,,0,0,7655,,,
LR 26-123,,64,3,,,0.0431,0.0629,LR-26,0.35,0.69,27.6,0.3417,2.3,4.1,12,7441,,,
LR 26-125,,65,1,,,0.0107,0.0047,LR-26,0.01,0.06,0,,,0,0,7229,,,
LR 26-125,,65,2,,,0.0078,0.0066,LR-26,0.01,0.06,0,,,0,0,7656,,,
LR 26-125,,65,3,,,0.0664,0.0898,LR-26,0.5,0.79,41.5,0.2591,1.8864,5.7,22,7442,,,
LR 26-127,,66,1,,,0.0093,0.0095,LR-26,0.02,0.14,0,,,0,0,7230,,,
LR 26-127,,66,2,,,0.0035,0,LR-26,0,0.04,0,,,0,0,7657,,,
LR 26-127,,66,3,,,0.0794,0.1424,LR-26,0.83,0.91,77.5,0.369,2.6724,10.7,29,7443,,,
LR 26-128,,67,1,,,0.007,0.0062,LR-26,0.01,0.08,0,,,0,0,7231,,,
LR 26-128,,67,2,,,0.0045,0.0033,LR-26,0.01,0.04,0,,,0,0,7658,,,
LR 26-128,,67,3,,,0.0195,0.0274,LR-26,0.15,0.17,9.5,0.2,1.3571,1.4,7,7444,,,
LR 26-129,,68,1,,,0.0028,0.006,LR-26,0.02,0.05,0,,,0,0,7232,,,
LR 26-129,,68,2,,,0.0032,0.0031,LR-26,0,0.05,0,,,0,0,7659,,,
LR 26-129,,68,3,,,0.0156,0.0352,LR-26,0.2,0.19,14.9,0.25,1.8625,2,8,7445,,,
LR 26-13,,9,1,,,0.0255,0.0386,LR-26,0.2,0.39,23,0.2,1.5333,3,15,7173,,,
LR 26-13,,9,2,,,0.0064,0.0099,LR-26,0.02,0.12,0,,,0,0,7600,,,
LR 26-13,,9,3,,,0.0353,0.0519,LR-26,0.25,0.45,19.7,0.5167,3.2833,3.1,6,7386,,,
LR 26-132,,69,1,,,0.0175,0.0225,LR-26,0.18,0.21,3.8,0.34,0.76,1.7,5,7233,,,
LR 26-132,,69,2,,,0.0141,0.0109,LR-26,0.02,0.17,0,,,0,0,7660,,,
LR 26-132,,69,3,,,0.0512,0.0808,LR-26,0.44,0.64,29.7,0.32,1.98,4.8,15,7446,,,
LR 26-134,,70,1,,,0.0083,0.0131,LR-26,0.08,0.13,2.5,0.0667,0.8333,0.2,3,7234,,,
LR 26-134,,70,2,,,0.0063,0.0109,LR-26,0.02,0.1,0,,,0,0,7661,,,
LR 26-134,,70,3,,,0.0098,0.0008,LR-26,0,0.04,0,,,0,0,7447,,,
LR 26-135,,71,1,,,0.0145,0.0168,LR-26,0.03,0.17,0,,,0,0,7235,,,
LR 26-135,,71,2,,,0.0081,0.0109,LR-26,0.02,0.12,0,,,0,0,7662,,,
LR 26-135,,71,3,,,0.2248,0.4336,LR-26,2.16,3.2,140.3,0.425,2.9229,20.4,48,7448,,,
LR 26-136,,72,1,,,0.024,0.0263,LR-26,0.05,0.34,4.9,0.14,0.98,0.7,5,7236,,,
LR 26-136,,72,2,,,0.0112,0.0111,LR-26,0.02,0.17,0,,,0,0,7663,,,
LR 26-136,,72,3,,,0.074,0.1382,LR-26,0.7,1.05,37.1,0.69,3.71,6.9,10,7449,,,
LR 26-137,,73,1,,,0.0084,0.01,LR-26,0.02,0.11,0,,,0,0,7237,,,
LR 26-137,,73,2,,,0.0046,0.0045,LR-26,0.01,0.08,0,,,0,0,7664,,,
LR 26-137,,73,3,,,0.0108,0.0192,LR-26,0.1,0.14,1.4,0.05,0.7,0.1,2,7450,,,
LR 26-138,,74,1,,,0.016,0.0119,LR-26,0.02,0.18,0,,,0,0,7238,,,
LR 26-138,,74,2,,,0.0058,0.0041,LR-26,0.01,0.09,0,,,0,0,7665,,,
LR 26-138,,74,3,,,0.0178,0.0216,LR-26,0.13,0.21,4.1,0.1667,1.3667,0.5,3,7451,,,
LR 26-139,,75,1,,,0.0137,0.0178,LR-26,0.12,0.19,7.8,0.14,1.56,0.7,5,7239,,,
LR 26-139,,75,2,,,0.0077,0.0043,LR-26,0.01,0.11,0,,,0,0,7666,,,
LR 26-139,,75,3,,,0.0668,0.0913,LR-26,0.45,0.72,57.5,0.2162,1.5541,8,37,7452,,,
LR 26-140,,76,1,,,0.0147,0.0186,LR-26,0.09,0.2,3.4,0.0333,1.1333,0.1,3,7240,,,
LR 26-140,,76,2,,,0.0139,0,LR-26,0,0.09,0,,,0,0,7667,,,
LR 26-140,,76,3,,,0.0293,0.058,LR-26,0.27,0.33,41.1,0.61,4.11,6.1,10,7453,,,
LR 26-142,,77,1,,,0.0185,0.0226,LR-26,0.14,0.23,3.9,0.05,1.95,0.1,2,7241,,,
LR 26-142,,77,2,,,0.0095,0.0128,LR-26,0.02,0.16,0,,,0,0,7668,,,
LR 26-142,,77,3,,,0.0212,0.0422,LR-26,0.21,0.29,21,0.7,4.2,3.5,5,7454,,,
LR 26-145,,78,1,,,0.0057,0.0045,LR-26,0.01,0.06,0,,,0,0,7242,,,
LR 26-145,,78,2,,,0.0104,0.0091,LR-26,0.02,0.17,0,,,0,0,7669,,,
LR 26-145,,78,3,,,0.0246,0.0313,LR-26,0.17,0.27,16.3,0.2,1.8111,1.8,9,7455,,,
LR 26-149,,79,1,,,0.0277,0.037,LR-26,0.22,0.35,16.2,0.5,4.05,2,4,7243,,,
LR 26-149,,79,2,,,0.0074,0.009,LR-26,0.01,0.09,0,,,0,0,7670,,,
LR 26-149,,79,3,,,0.034,0.0624,LR-26,0.28,0.51,26.9,0.86,5.38,4.3,5,7456,,,
LR 26-151,,80,1,,,0.0086,0.0014,LR-26,0,0.04,0,,,0,0,7244,,,
LR 26-151,,80,2,,,0.0096,0.0007,LR-26,0.01,0.06,0,,,0,0,7671,,,
LR 26-151,,80,3,,,0.0195,0.0237,LR-26,0.11,0.17,5.9,0.0857,0.8429,0.6,7,7457,,,
LR 26-152,,81,1,,,0.008,0.0052,LR-26,0.01,0.07,0,,,0,0,7245,,,
LR 26-152,,81,2,,,0.0054,0.0033,LR-26,0.01,0.07,0,,,0,0,7672,,,
LR 26-152,,81,3,,,0.0127,0.0091,LR-26,0.06,0.16,0,,,0,0,7458,,,
LR 26-156,,82,1,,,0.0096,0.0109,LR-26,0.06,0.19,0,,,0,0,7246,,,
LR 26-156,,82,2,,,0.008,0.0032,LR-26,0,0.06,0,,,0,0,7673,,,
LR 26-156,,82,3,,,0.0232,0.0375,LR-26,0.18,0.37,14.9,0.1385,1.1462,1.8,13,7459,,,
LR 26-157,,83,1,,,0.0513,0.0769,LR-26,0.45,0.75,40.7,0.3188,2.5438,5.1,16,7247,,,
LR 26-157,,83,2,,,0.0053,0.0037,LR-26,0.01,0.02,0,,,0,0,7674,,,
LR 26-157,,83,3,,,0.1055,0.1743,LR-26,0.91,1.54,98.3,0.6238,4.681,13.1,21,7460,,,
